mutation_0just_section,mutation_0just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_14,mutation_14:8115d9ef70e5ed604fe9c0ad0233052d0da8fdb2,55/71
mutation_9just_section,mutation_9just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_10with_section,mutation_10with_section:8d989853ad21f1e152144c97c01e2e9ad65b40c7,54/70
mutation_14just_section,mutation_14just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_5just_section,mutation_5just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_1just_section,mutation_1just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_0,mutation_0:e8d469f886c6a8b5caed48e36da0ecbf4c33475f,55/70
mutation_8,mutation_8:8115d9ef70e5ed604fe9c0ad0233052d0da8fdb2,55/71
mutation_12,mutation_12:57076d42ea7d4a66b23662575f8ce3ca10befc22,56/71
mutation_2just_section,mutation_2just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_5with_section,mutation_5with_section:29c9efffceb1f0fcedd8d7c65ae14508e4aa741b,54/70
mutation_10,mutation_10:9e29f0d691bdd88424e797836b42c73b27c9353b,56/71
mutation_3with_section,mutation_3with_section:b6b67d37c36f8f3848a144a02f3a700950339e0f,54/70
mutation_5,mutation_5:4ffce3f41b7f2ab2a1409d327889c4ed4110aab3,53/70
mutation_7,mutation_7:fedba9de26b832f0e89341f6a488efbdd1eadc98,56/71
mutation_13,mutation_13:f401c82584489855ab4998d86e5ca928ce1f2b88,56/70
mutation_11just_section,mutation_11just_section:24ddaed78507ade322ab1489a3ecf2ff7212fe44,58/69
mutation_8with_section,mutation_8with_section:393fe3ba712915bee654fac87abfa3fa1c186c1d,53/69
mutation_4with_section,mutation_4with_section:878be4fef0e4db36b2c99c316a476a7c22a3273d,54/70
mutation_11with_section,mutation_11with_section:ee72b92be441fad36243c99567b105c27a263f4b,54/69
mutation_4,mutation_4:99b7d390fc16190038d81e78607f24bef86ad1f5,54/70
mutation_2,mutation_2:5b05ad61cb16791b35a38142be51e7e922d5ab8e,53/70
mutation_13with_section,mutation_13with_section:9f8af69413d9af8860cdefa33d2c7aa14889d11f,56/70
mutation_7with_section,mutation_7with_section:22778c2d58f42c71739922f075ad90aabee3e64d,55/70
mutation_6just_section,mutation_6just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_14with_section,mutation_14with_section:393fe3ba712915bee654fac87abfa3fa1c186c1d,53/69
mutation_3just_section,mutation_3just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_13just_section,mutation_13just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_7just_section,mutation_7just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_10just_section,mutation_10just_section:a729ba075deee69353bd87e6b331a877d47a6773,58/70
mutation_3,mutation_3:023ec4d3161db81a7dae173f55157260a1882a15,55/71
mutation_12with_section,mutation_12with_section:863b5e5e604cfdbd273ec20cb763b3830379ebce,51/67
mutation_9with_section,mutation_9with_section:c26bc823d274e166e3d6c9f94fb6d681fd584d51,53/69
mutation_4just_section,mutation_4just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_8just_section,mutation_8just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
mutation_1with_section,mutation_1with_section:3b19d345648d2b96428a81870ba5a7cd62ffa355,55/70
mutation_9,mutation_9:08eecd496039dd9e6bac1198e0c822e2211ee446,53/70
mutation_2with_section,mutation_2with_section:bc1c77708e7835dcb2a1d24b2a499cf2901dc646,55/71
mutation_1,mutation_1:ac747ac6b88124bf9c6a320914d0c2ad1ea2ea2d,54/70
mutation_6,mutation_6:8115d9ef70e5ed604fe9c0ad0233052d0da8fdb2,55/71
mutation_6with_section,mutation_6with_section:393fe3ba712915bee654fac87abfa3fa1c186c1d,53/69
mutation_0with_section,mutation_0with_section:711359ece795c77e7f65b80fc44b04ba498fd842,54/70
mutation_11,mutation_11:8115d9ef70e5ed604fe9c0ad0233052d0da8fdb2,55/71
mutation_12just_section,mutation_12just_section:ce18196e3dc632f1664049adb2959fa08debe75a,58/70
